City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Min Temp,Max Temp,Wind Speed
1486321,Yar-Sale,100,RU,2021-02-08 00:26:11,90,66.8333,70.8333,-11.146000000000015,-11.146000000000015,90
5895424,Bay Roberts,8,CA,2021-02-08 00:23:38,71,47.5999,-53.2648,28.00400000000002,30.00200000000001,71
1242110,Kalmunai,28,LK,2021-02-08 00:26:15,87,7.4167,81.8167,76.56800000000004,76.56800000000004,87
2178753,Kirakira,14,SB,2021-02-08 00:26:16,69,-10.4544,161.9205,85.19,85.19,69
2374775,Bissau,78,GW,2021-02-08 00:26:17,68,11.8636,-15.5977,71.59999999999997,71.59999999999997,68
2431736,Goundi,54,TD,2021-02-08 00:26:19,21,9.3627,17.366,68.86399999999998,68.86399999999998,21
3375941,Skeldon,90,GY,2021-02-08 00:26:20,88,5.8833,-57.1333,76.04599999999999,76.04599999999999,88
2033449,Yantongshan,92,CN,2021-02-08 00:26:21,90,43.2919,126.0094,-4.846000000000004,-4.846000000000004,90
1529484,Kumul,81,CN,2021-02-08 00:26:22,80,42.8,93.45,28.50799999999998,28.50799999999998,80
1337610,Thinadhoo,24,MV,2021-02-08 00:22:16,74,0.5333,72.9333,81.49999999999994,81.49999999999994,74
6111862,Port Hardy,75,CA,2021-02-08 00:26:26,81,50.6996,-127.4199,37.39999999999998,39.19999999999993,81
2381972,Adrar,0,MR,2021-02-08 00:22:33,35,20.5022,-10.0711,57.81200000000007,57.81200000000007,35
3466165,Cidreira,0,BR,2021-02-08 00:26:29,71,-30.1811,-50.2056,70.82600000000008,70.82600000000008,71
4034551,Faanui,2,PF,2021-02-08 00:26:30,76,-16.4833,-151.75,81.536,81.536,76
1260206,Pāsighāt,0,IN,2021-02-08 00:26:31,45,28.0667,95.3333,56.4260000000001,56.4260000000001,45
2170581,Coolum Beach,89,AU,2021-02-08 00:26:32,76,-26.5333,153.1,71.99600000000004,80.00600000000003,76
893485,Chiredzi,93,ZW,2021-02-08 00:26:35,71,-21.05,31.6667,72.01399999999995,72.01399999999995,71
2305537,Agogo,36,GH,2021-02-08 00:26:36,89,6.8,-1.0819,75.43399999999991,75.43399999999991,89
1276621,Begamganj,0,IN,2021-02-08 00:22:10,45,23.6,78.3333,51.29599999999999,51.29599999999999,45
1264976,Leh,5,IN,2021-02-08 00:26:39,57,34.1667,77.5833,10.95799999999997,10.95799999999997,57
2126710,Beringovskiy,100,RU,2021-02-08 00:26:40,93,63.05,179.3167,4.963999999999999,4.963999999999999,93
